candidate,protocol,scene_token,sample_token,gt_token,gt_instance_token,gt_class,current_matched,b0_matched
r2_a_zero,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,a98fba72bde9433fb882032d18aedb2e,ead8e7366a4e42b68b1f4dc053697652,68a40df2846e4298af0417ea12721b5c,pedestrian,False,True
r2_a_zero,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,8e9c2cba0ee74056aa3746e8391d54a9,f86091dd98754bd9b53beec14c9b8820,143ecd5e93614768bdb3da695e76c409,car,False,True
r2_a_zero,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,456ec36cb4a44ca78f36fbd90c0c34fa,b859eec427854b4a8d836275a3c77a3d,ab8d210d019b44abae3c4e0eee6ce8ba,pedestrian,False,True
r2_a_zero,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,0af0feb5b1394b928dd13d648de898f5,f89feece4526433898be0bc3495c9f00,8ce4fe54af77467d90c840465f69677f,car,False,True
r2_a_zero,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,61d9340c5ad8418dafe7a4af1b96e6b9,5bfe75d8337c417fa8055473cf03b58a,996d9e039f7a4838ac48d5409ca89732,pedestrian,False,True
r2_a_zero,camera_crash_5,325cef682f064c55a255f2625c533b75,d8251bbc2105497ab8ec80827d4429aa,0cab2896be4349ed88f59c84642e4b87,b8bbb0f8ce61468e93ff1d18c06ee663,bicycle,False,True
r2_a_zero,camera_crash_5,325cef682f064c55a255f2625c533b75,048a45dd2cf54aa5808d8ccc85731d44,7222641fc98744cc9b2d06920e335c43,b8bbb0f8ce61468e93ff1d18c06ee663,bicycle,False,True
r2_a_zero,camera_crash_5,325cef682f064c55a255f2625c533b75,858a1ece22cf45d9bc71e42336604b78,427f1da89441485d9b1a66214662c77c,b8bbb0f8ce61468e93ff1d18c06ee663,bicycle,False,True
r2_a_zero,camera_crash_5,325cef682f064c55a255f2625c533b75,372725a4b00e49c78d6d0b1c4a38b6e0,c8c80977d7f04f2383b65838d2dc66b3,b8bbb0f8ce61468e93ff1d18c06ee663,bicycle,False,True
r2_a_zero,camera_crash_5,325cef682f064c55a255f2625c533b75,a19a80c905674faab7203a3a4e0f5246,d9bb7b51f47b457c9f88962d395505f3,63510eb8f6ed4b3189002b1f2648ea1f,car,False,True
r2_a_zero,camera_crash_5,325cef682f064c55a255f2625c533b75,44237858a539457da65822bfcf58c414,cc9a05c22e5a4824bee13033d3ed874b,d71462c2ae74472bae3adbf7a41b2fc7,car,False,True
r2_a_zero,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,f753d3f87e5b40af87ff2cbf7c8e7082,081c19290123437ba6a3617344bbb55d,fef3f0c1f8f944e393315c5460263f17,pedestrian,False,True
r2_a_zero,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,fdc39b23ab4242eda6ec5e1e6574fe33,91fc784855ae4cb9aee748e3e365c2c5,143ecd5e93614768bdb3da695e76c409,car,False,True
r2_a_zero,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,9ee4020153674b9e9943d395ff8cfdf3,b0d7b45f0ce443559a2368abf9f42141,72137291381349428afb1038d4e5898c,pedestrian,False,True
r2_a_zero,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,4cf5d6c3f6ab42aab23f67b5a9782d1a,34d4b5d5bc984a05b3a1e4250a180bbb,2a42fd0e123c455fbaeb1c5f03dba0b2,car,False,True
r2_a_zero,camera_crash_10,325cef682f064c55a255f2625c533b75,609d5177362340458a3bfd4949cd1e64,50f20841589c4a7da2f67c96e2a6b25e,c2c271c1bc484bce81639bfda2083588,pedestrian,False,True
r2_a_zero,camera_crash_10,325cef682f064c55a255f2625c533b75,b1303058fa624645b753d7283d70de45,b3ef233cd90a4ad79557a37739676444,c2c271c1bc484bce81639bfda2083588,pedestrian,False,True
r2_a_zero,camera_crash_10,325cef682f064c55a255f2625c533b75,a19a80c905674faab7203a3a4e0f5246,a7afdda04eb44098a1aca107499a5682,c2c271c1bc484bce81639bfda2083588,pedestrian,False,True
r2_a_zero,camera_crash_10,325cef682f064c55a255f2625c533b75,b6c420c3a5bd4a219b1cb82ee5ea0aa7,f01a0b3aa5db4721a43803ccf0ff0e33,c2c271c1bc484bce81639bfda2083588,pedestrian,False,True
r2_a_zero,compound,fcbccedd61424f1b85dcbf8f897f9754,9ee4020153674b9e9943d395ff8cfdf3,b0d7b45f0ce443559a2368abf9f42141,72137291381349428afb1038d4e5898c,pedestrian,False,True
r2_a_zero,compound,fcbccedd61424f1b85dcbf8f897f9754,0af0feb5b1394b928dd13d648de898f5,f89feece4526433898be0bc3495c9f00,8ce4fe54af77467d90c840465f69677f,car,False,True
r2_a_zero,compound,fcbccedd61424f1b85dcbf8f897f9754,0af0feb5b1394b928dd13d648de898f5,16ffdd8502af44288d5bc4c424f4f709,96c353e8f14d4a63ba2b844d43cffc42,car,False,True
r2_a_zero,compound,fcbccedd61424f1b85dcbf8f897f9754,cc57c1ea80fe46a7abddfdb15654c872,5f5fc345719c44f7a8c2e899b684b217,99fbf1b9bf474215a4e8ad562bb7e9b2,pedestrian,False,True
r2_a_zero,compound,fcbccedd61424f1b85dcbf8f897f9754,a771effa2a2648d78096c3e92b95b129,f6cd785ccc764c508e61192d4b72ef5b,6702a65bda8b4e2da8ac270c26e425bd,motorcycle,False,True
r2_a_zero,compound,325cef682f064c55a255f2625c533b75,609d5177362340458a3bfd4949cd1e64,50f20841589c4a7da2f67c96e2a6b25e,c2c271c1bc484bce81639bfda2083588,pedestrian,False,True
