candidate,protocol,scene_token,sample_token,gt_token,gt_instance_token,gt_class,current_matched,b0_matched
r2_a_zero,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,de7593d76648450e947ba0c203dee1b0,7c29aa55ea8a40d1bead8b1195ec398f,eaaf60765ee8478f8e0bd4942571c6fb,car,True,False
r2_a_zero,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,4cf5d6c3f6ab42aab23f67b5a9782d1a,23fa022692a54bfa9f75e2a0d8107c2b,2a8a8fc65dc54eeb9e2e161bfa3af0c1,pedestrian,True,False
r2_a_zero,camera_crash_5,325cef682f064c55a255f2625c533b75,e174cb43655f49dab7ffa27b973670e3,de9bb2be98424f2bb91147f78713b6dc,64b22104a573415a8c860fc22214619c,car,True,False
r2_a_zero,camera_crash_5,325cef682f064c55a255f2625c533b75,8cd36e9531fb4eba8e6ac1d666c4641c,b21c8a138350408e9731d9e5f695c1f7,a1cc58fdb3fa4a0097a315a77ce1be90,car,True,False
r2_a_zero,camera_crash_5,325cef682f064c55a255f2625c533b75,7bebe3c9be714f02837f8617c56df122,108bf8c19e994033a71c28a614de2c24,f987ba5f8e6243889a731f8cffe1934b,car,True,False
r2_a_zero,camera_crash_5,325cef682f064c55a255f2625c533b75,841dd6709e9b4d7c9d6bf888f1fe6d7e,3f51434878464d5cbe1f8102ddef0a92,e5cabb9d6b474377a206feab4ec64d3f,car,True,False
r2_a_zero,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,b22fa0b3c34f47b6a360b60f35d5d567,8db6abbc78394cb3aea7ee03fb8f47b8,72137291381349428afb1038d4e5898c,pedestrian,True,False
r2_a_zero,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,0a0d6b8c2e884134a3b48df43d54c36a,3219df0be6764e9e955e91f5eca4332e,e73ba8faf67d40c8b6b653489393ef8b,car,True,False
r2_a_zero,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,d0ecf474e0e64950aa265cd44b9c9d75,69922f3e38f341eeb9512e138958269a,bc6bc2b076b24fc79ed0517f5747c1cf,pedestrian,True,False
r2_a_zero,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,456ec36cb4a44ca78f36fbd90c0c34fa,b859eec427854b4a8d836275a3c77a3d,ab8d210d019b44abae3c4e0eee6ce8ba,pedestrian,True,False
r2_a_zero,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,cc57c1ea80fe46a7abddfdb15654c872,5f5fc345719c44f7a8c2e899b684b217,99fbf1b9bf474215a4e8ad562bb7e9b2,pedestrian,True,False
r2_a_zero,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,4cf5d6c3f6ab42aab23f67b5a9782d1a,c995e8b44f1b4cd5aa819a5294a9fa16,99fbf1b9bf474215a4e8ad562bb7e9b2,pedestrian,True,False
r2_a_zero,compound,fcbccedd61424f1b85dcbf8f897f9754,d0ecf474e0e64950aa265cd44b9c9d75,6c9b5ebe34904bcb9c35d90134875915,0bfc7d407d09490cba7ac57897fcb100,car,True,False
r2_a_zero,compound,fcbccedd61424f1b85dcbf8f897f9754,d0ecf474e0e64950aa265cd44b9c9d75,69922f3e38f341eeb9512e138958269a,bc6bc2b076b24fc79ed0517f5747c1cf,pedestrian,True,False
r2_a_zero,compound,fcbccedd61424f1b85dcbf8f897f9754,b9ea04a6121d4a8bb00199b885aa5ef0,413d9832ea7b49b6ab5f8f3c23e84cfd,8ce4fe54af77467d90c840465f69677f,car,True,False
r2_a_zero,compound,325cef682f064c55a255f2625c533b75,6ff9723a60bf4e14b328b3b19f04dc32,80f827b3494a4d1c9f46a274c64f52bd,c2c271c1bc484bce81639bfda2083588,pedestrian,True,False
r2_a_zero,compound,325cef682f064c55a255f2625c533b75,44237858a539457da65822bfcf58c414,f33f18bbf1da48108222d1a0483d73a5,a1cc58fdb3fa4a0097a315a77ce1be90,car,True,False
r2_a_zero,compound,325cef682f064c55a255f2625c533b75,8cd36e9531fb4eba8e6ac1d666c4641c,b21c8a138350408e9731d9e5f695c1f7,a1cc58fdb3fa4a0097a315a77ce1be90,car,True,False
r2_b_zero,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,de7593d76648450e947ba0c203dee1b0,7c29aa55ea8a40d1bead8b1195ec398f,eaaf60765ee8478f8e0bd4942571c6fb,car,True,False
r2_b_zero,camera_crash_5,fcbccedd61424f1b85dcbf8f897f9754,4cf5d6c3f6ab42aab23f67b5a9782d1a,23fa022692a54bfa9f75e2a0d8107c2b,2a8a8fc65dc54eeb9e2e161bfa3af0c1,pedestrian,True,False
r2_b_zero,camera_crash_5,325cef682f064c55a255f2625c533b75,e174cb43655f49dab7ffa27b973670e3,de9bb2be98424f2bb91147f78713b6dc,64b22104a573415a8c860fc22214619c,car,True,False
r2_b_zero,camera_crash_5,325cef682f064c55a255f2625c533b75,8cd36e9531fb4eba8e6ac1d666c4641c,b21c8a138350408e9731d9e5f695c1f7,a1cc58fdb3fa4a0097a315a77ce1be90,car,True,False
r2_b_zero,camera_crash_5,325cef682f064c55a255f2625c533b75,7bebe3c9be714f02837f8617c56df122,108bf8c19e994033a71c28a614de2c24,f987ba5f8e6243889a731f8cffe1934b,car,True,False
r2_b_zero,camera_crash_5,325cef682f064c55a255f2625c533b75,841dd6709e9b4d7c9d6bf888f1fe6d7e,3f51434878464d5cbe1f8102ddef0a92,e5cabb9d6b474377a206feab4ec64d3f,car,True,False
r2_b_zero,camera_crash_10,fcbccedd61424f1b85dcbf8f897f9754,b22fa0b3c34f47b6a360b60f35d5d567,8db6abbc78394cb3aea7ee03fb8f47b8,72137291381349428afb1038d4e5898c,pedestrian,True,False
